ID,1355,1365,1370,1375,1376,1385,1388,1389,1391,1392
0201,امل,امل,امل,امل,امل,آمل,آمل,آمل,آمل,آمل
0202,بابل,بابل,بابل,بابل,بابل,بابل,بابل,بابل,بابل,بابل
0203,بهشهر,بندرترکمن,ترکمن,ترکمن,,,,,,
0204,گنبدکاوس,بهشهر,بهشهر,بهشهر,بهشهر,بهشهر,بهشهر,بهشهر,بهشهر,بهشهر
0205,ساری,تنکابن,تنکابن,تنکابن,تنکابن,تنکابن,تنکابن,تنکابن,تنکابن,تنکابن
0206,شاهی,رامسر,رامسر,رامسر,رامسر,رامسر,رامسر,رامسر,رامسر,رامسر
0207,شهسوار,ساری,ساری,ساری,ساری,ساری,ساری,ساری,ساری,ساری
0208,گرگان,سوادکوه,سوادکوه,سوادکوه,سوادکوه,سوادکوه,سوادکوه,سوادکوه,سوادکوه,سوادکوه
0209,نور,علی اباد,علی اباد,علی اباد,,,,,,
0210,نوشهر,قایم شهر,قایم شهر,قایم شهر,قایم شهر,قایم شهر,قایم شهر,قایم شهر,قایم شهر,قایم شهر
0211,,کردکوی,کردکوی,کردکوی,,,,,,
0212,,گرگان,گرگان,گرگان,,,,,,
0213,,گنبدکاووس,گنبدکاوس,گنبدکاوس,,,,,,
0214,,نور,نور,نور,نور,نور,نور,نور,نور,نور
0215,,نوشهر,نوشهر,نوشهر,نوشهر,نوشهر,نوشهر,نوشهر,نوشهر,نوشهر
0216,,,بابلسر,بابلسر,بابلسر,بابلسر,بابلسر,بابلسر,بابلسر,بابلسر
0217,,,مینودشت,مینودشت,,,,,,
0218,,,,محموداباد,محموداباد,محمودآباد,محمودآباد,محمودآباد,محمودآباد,محمودآباد
0219,,,,نکا,نکا,نکا,نکا,نکا,نکا,نکا
0220,,,,,چالوس,چالوس,چالوس,چالوس,چالوس,چالوس
0221,,,,,جویبار,جویبار,جویبار,جویبار,جویبار,جویبار
0222,,,,,,گلوگاه,گلوگاه,گلوگاه,گلوگاه,گلوگاه
0223,,,,,,,فریدونکنار,فریدونکنار,فریدونکنار,فریدونکنار
0224,,,,,,,,عباس آباد,عباس آباد,عباس آباد
0225,,,,,,,,میاندورود,میاندورود,میاندورود
0226,,,,,,,,,سیمرغ,سیمرغ
0227,,,,,,,,,,سوادکوه شمالی
0228,,,,,,,,,,کلاردشت
