ID,1355,1365,1372,1375,1376,1382,1389
00,مرکزی,مرکزی,مرکزی,مرکزی,مرکزی,مرکزی,مرکزی
01,گیلان,گیلان,گیلان,گیلان,گیلان,گیلان,گیلان
02,مازندران,مازندران,مازندران,مازندران,مازندران,مازندران,مازندران
03,اذربایجان شرقی,اذربایجان شرقی,اذربایجان شرقی,اذربایجان شرقی,اذربایجان شرقی,آذربایجان شرقی,آذربایجان شرقی
04,اذربایجان غربی,اذربایجان غربی,اذربایجان غربی,اذربایجان غربی,اذربایجان غربی,آذربایجان غربی,آذربایجان غربی
05,کرمانشاهان,باختران,کرمانشاه,کرمانشاه,کرمانشاه,کرمانشاه,کرمانشاه
06,خوزستان,خوزستان,خوزستان,خوزستان,خوزستان,خوزستان,خوزستان
07,فارس,فارس,فارس,فارس,فارس,فارس,فارس
08,کرمان,کرمان,کرمان,کرمان,کرمان,کرمان,کرمان
09,خراسان,خراسان,خراسان,خراسان,خراسان,خراسان رضوی,خراسان رضوی
10,اصفهان,اصفهان,اصفهان,اصفهان,اصفهان,اصفهان,اصفهان
11,سیستان وبلوچستان,سیستان وبلوچستان,سیستان وبلوچستان,سیستان وبلوچستان,سیستان وبلوچستان,سیستان وبلوچستان,سیستان و بلوچستان
12,کردستان,کردستان,کردستان,کردستان,کردستان,کردستان,کردستان
13,همدان,همدان,همدان,همدان,همدان,همدان,همدان
14,چهارمحال وبختیاری,چهارمحال وبختیاری,چهارمحال وبختیاری,چهارمحال وبختیاری,چهارمحال وبختیاری,چهارمحال وبختیاری,چهارمحال و بختیاری
15,لرستان,لرستان,لرستان,لرستان,لرستان,لرستان,لرستان
16,ایلام,ایلام,ایلام,ایلام,ایلام,ایلام,ایلام
17,داریکل بویراحمدوکهکی,کهگیلویه وبویراحمد,کهگیلویه وبویراحمد,کهگیلویه وبویراحمد,کهگیلویه وبویراحمد,کهگیلویه وبویراحمد,کهگیلویه و بویراحمد
18,بوشهر,بوشهر,بوشهر,بوشهر,بوشهر,بوشهر,بوشهر
19,زنجان,زنجان,زنجان,زنجان,زنجان,زنجان,زنجان
20,داریکل سمنان,سمنان,سمنان,سمنان,سمنان,سمنان,سمنان
21,یزد,یزد,یزد,یزد,یزد,یزد,یزد
22,ساحلی,هرمزگان,هرمزگان,هرمزگان,هرمزگان,هرمزگان,هرمزگان
23,,تهران,تهران,تهران,تهران,تهران,تهران
24,,,اردبیل,اردبیل,اردبیل,اردبیل,اردبیل
25,,,,قم,قم,قم,قم
26,,,,,قزوین,قزوین,قزوین
27,,,,,گلستان,گلستان,گلستان
28,,,,,,خراسان شمالی,خراسان شمالی
29,,,,,,خراسان جنوبی,خراسان جنوبی
30,,,,,,,البرز
